Year,Month,Temp_Anomaly
2002,Jan,0.053
2002,Feb,0.1
2002,Mar,0.088
2002,Apr,-0.151
2002,May,-0.067
2002,Jun,-0.139
2002,Jul,-0.048
2002,Aug,-0.181
2002,Sep,-0.09
2002,Oct,-0.213
2002,Nov,-0.183
2002,Dec,-0.241
2003,Jan,0.028
2003,Feb,-0.101
2003,Mar,-0.196
2003,Apr,-0.183
2003,May,-0.104
2003,Jun,-0.19
2003,Jul,-0.082
2003,Aug,-0.067
2003,Sep,-0.1
2003,Oct,-0.026
2003,Nov,-0.242
2003,Dec,0.07
2004,Jan,-0.138
2004,Feb,0.039
2004,Mar,-0.161
2004,Apr,-0.122
2004,May,-0.342
2004,Jun,-0.228
2004,Jul,-0.4
2004,Aug,-0.257
2004,Sep,-0.224
2004,Oct,-0.145
2004,Nov,-0.049
2004,Dec,-0.175
2005,Jan,0.021
2005,Feb,-0.089
2005,Mar,-0.05
2005,Apr,-0.063
2005,May,-0.081
2005,Jun,-0.023
2005,Jul,-0.045
2005,Aug,-0.108
2005,Sep,-0.012
2005,Oct,-0.002
2005,Nov,-0.037
2005,Dec,0.001
2006,Jan,-0.162
2006,Feb,0.046
2006,Mar,-0.163
2006,Apr,-0.265
2006,May,-0.235
2006,Jun,-0.01
2006,Jul,-0.123
2006,Aug,-0.002
2006,Sep,-0.073
2006,Oct,-0.058
2006,Nov,-0.036
2006,Dec,0.111
2007,Jan,0.297
2007,Feb,0.012
2007,Mar,-0.067
2007,Apr,0.024
2007,May,-0.021
2007,Jun,-0.057
2007,Jul,-0.061
2007,Aug,-0.116
2007,Sep,-0.124
2007,Oct,-0.166
2007,Nov,-0.186
2007,Dec,-0.185
2008,Jan,-0.419
2008,Feb,-0.306
2008,Mar,-0.048
2008,Apr,-0.195
2008,May,-0.22
2008,Jun,-0.181
2008,Jul,-0.062
2008,Aug,-0.254
2008,Sep,-0.11
2008,Oct,-0.085
2008,Nov,-0.087
2008,Dec,-0.139
2009,Jan,-0.078
2009,Feb,-0.158
2009,Mar,-0.256
2009,Apr,-0.123
2009,May,-0.062
2009,Jun,-0.022
2009,Jul,0.075
2009,Aug,-0.032
2009,Sep,-0.008
2009,Oct,-0.102
2009,Nov,0.021
2009,Dec,-0.005
2010,Jan,0.026
2010,Feb,0.148
2010,Mar,0.129
2010,Apr,0.115
2010,May,0.045
2010,Jun,0.015
2010,Jul,-0.033
2010,Aug,-0.044
2010,Sep,-0.094
2010,Oct,-0.048
2010,Nov,0.042
2010,Dec,-0.231
2011,Jan,-0.2
2011,Feb,-0.203
2011,Mar,-0.137
2011,Apr,-0.082
2011,May,-0.18
2011,Jun,-0.04
2011,Jul,0.045
2011,Aug,0.029
2011,Sep,-0.159
2011,Oct,-0.098
2011,Nov,-0.187
2011,Dec,-0.073
2012,Jan,-0.233
2012,Feb,-0.193
2012,Mar,-0.215
2012,Apr,-0.007
2012,May,0.071
2012,Jun,-0.02
2012,Jul,-0.074
2012,Aug,-0.065
2012,Sep,-0.002
2012,Oct,0.04
2012,Nov,0.012
2012,Dec,-0.148
2013,Jan,-0.015
2013,Feb,-0.064
2013,Mar,-0.123
2013,Apr,-0.195
2013,May,-0.104
2013,Jun,0.025
2013,Jul,-0.057
2013,Aug,-0.021
2013,Sep,0.043
2013,Oct,-0.062
2013,Nov,0.06
2013,Dec,0.015
2014,Jan,0.039
2014,Feb,-0.134
2014,Mar,-0.014
2014,Apr,0.065
2014,May,0.149
2014,Jun,0.005
2014,Jul,-0.078
2014,Aug,0.113
2014,Sep,0.149
2014,Oct,0.052
2014,Nov,-0.108
2014,Dec,0.099
2015,Jan,0.134
2015,Feb,0.216
2015,Mar,0.167
2015,Apr,0.029
2015,May,0.084
2015,Jun,0.142
2015,Jul,0.065
2015,Aug,0.089
2015,Sep,0.126
2015,Oct,0.336
2015,Nov,0.287
2015,Dec,0.483
2016,Jan,0.447
2016,Feb,0.682
2016,Mar,0.564
2016,Apr,0.37
2016,May,0.239
2016,Jun,0.133
2016,Jul,0.18
2016,Aug,0.3
2016,Sep,0.18
2016,Oct,0.133
2016,Nov,0.146
2016,Dec,0.183
2017,Jan,0.3
2017,Feb,0.45
2017,Mar,0.369
2017,Apr,0.208
2017,May,0.199
2017,Jun,0.049
2017,Jul,0.154
2017,Aug,0.154
2017,Sep,0.04
2017,Oct,0.145
2017,Nov,0.107
2017,Dec,0.248
2018,Jan,0.094
2018,Feb,0.163
2018,Mar,0.088
2018,Apr,0.156
2018,May,0.109
2018,Jun,0.106
2018,Jul,0.161
2018,Aug,0.048
2018,Sep,0.076
2018,Oct,0.263
2018,Nov,0.049
2018,Dec,0.23
2019,Jan,0.207
2019,Feb,0.262
2019,Mar,0.376
2019,Apr,0.28
2019,May,0.137
2019,Jun,0.24
2019,Jul,0.281
2019,Aug,0.23
2019,Sep,0.201
2019,Oct,0.257
2019,Nov,0.219
2019,Dec,0.409
2020,Jan,0.45
2020,Feb,0.556
2020,Mar,0.375
2020,Apr,0.397
2020,May,0.304
2020,Jun,0.251
2020,Jul,0.237
2020,Aug,0.16
2020,Sep,0.26
2020,Oct,0.132
2020,Nov,0.331
2020,Dec,0.132
2021,Jan,0.09
2021,Feb,-0.044
2021,Mar,0.093
2021,Apr,0.023
2021,May,0.071
2021,Jun,0.173
2021,Jul,0.254
2021,Aug,0.1
2021,Sep,0.197
2021,Oct,0.242
2021,Nov,0.161
2021,Dec,0.172
2022,Jan,0.185
2022,Feb,0.205
2022,Mar,0.255
2022,Apr,0.102
2022,May,0.129
2022,Jun,0.255
2022,Jul,0.272
2022,Aug,0.236
2022,Sep,0.169
2022,Oct,0.216
2022,Nov,-0.049
2022,Dec,0.112